symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
VVPR,0.1099238818771164,0.0,0.0,0.0,-0.8765691035765434,0.0,-0.13669936448629857,0.2857142857142857,90
WKEY,0.32962990220496474,0.0,0.0,0.0,-0.7015901613984984,0.0,0.07182488630409893,0.2857142857142857,89
ALC,0.20294919385407206,0.0,0.0,0.0,-0.1978156208027963,0.0,0.10275799018985496,0.2857142857142857,90
ARQQW,0.03962146264435647,0.0,0.0,0.0,-0.8730633820726689,0.0,-0.1885497485348999,0.2857142857142857,88
AZN,0.3514507508870874,0.0,0.0,0.0,0.021436571099379693,0.0,0.2689472059401605,0.2857142857142857,90
BDRX,0.16281370957156374,0.0,0.0,0.0,-0.8412405992730718,0.0,-0.08819986763959518,0.2857142857142857,86
BRNS,0.13973827646406203,0.0,0.0,0.0,-0.274553963543926,0.0,0.036165216462065004,0.2857142857142857,89
BTI,0.3069126452850141,0.0,0.0,0.0,0.023853063121889864,0.0,0.23614774974423303,0.2857142857142857,90
CLLS,0.38168411290487336,0.0,0.0,0.0,0.8522191204800197,0.0,0.49931786479865997,0.2857142857142857,90
CNTA,0.4129300175154787,0.0,0.0,0.0,0.373542842284971,0.0,0.40308322370785177,0.2857142857142857,90
DBVT,0.2786992572018571,0.0,0.0,0.0,0.4210469818087221,0.0,0.31428618835357336,0.2857142857142857,89
DYCQ,0.3346762621063746,0.0,0.0,0.0,-0.5006994910396859,0.0,0.12583232381985943,0.2857142857142857,83
EDAP,0.244636873388752,0.0,0.0,0.0,0.5148501027860433,0.0,0.31219018073807486,0.2857142857142857,88
GRMN,0.1221296054257279,0.0,0.0,0.0,-0.14229498135449492,0.0,0.056023458730672195,0.2857142857142857,90
IFRX,0.269310889503686,0.0,0.0,0.0,0.039978680311163604,0.0,0.21197783720555538,0.2857142857142857,90
IHG,0.26091668053725375,0.0,0.0,0.0,-0.15947011070934553,0.0,0.1558199827256039,0.2857142857142857,90
IMTX,0.3064902565503299,0.0,0.0,0.0,0.17860526592198425,0.0,0.27451900889324354,0.2857142857142857,90
ING,0.2263584478790359,0.0,0.0,0.0,-0.26188372733700493,0.0,0.10429790407502566,0.2857142857142857,90
LVTX,0.3109132330677605,0.0,0.0,0.0,0.32679251134909365,0.0,0.3148830526380938,0.2857142857142857,89
MREO,0.13616510013750094,0.0,0.0,0.0,0.055963873478874666,0.0,0.11611479347284437,0.2857142857142857,90
NCEL,0.3350276326451225,0.0,0.0,0.0,0.05858386674104894,0.0,0.2659166911691041,0.2857142857142857,89
NGG,0.26408919438716694,0.0,0.0,0.0,-0.12304373000606618,0.0,0.16730596328885866,0.2857142857142857,90
NVGS,0.3359182319627245,0.0,0.0,0.0,0.05982579054850468,0.0,0.26689512160916956,0.2857142857142857,90
NXPI,0.0541003894635028,0.0,0.0,0.0,-0.27423244997846835,0.0,-0.02798282039699,0.2857142857142857,90
PHG,0.19228658423029998,0.0,0.0,0.0,-0.3154571035475212,0.0,0.06535066228584467,0.2857142857142857,90
PNR,0.08115619312837925,0.0,0.0,0.0,-0.1937008232510942,0.0,0.012441939033510882,0.2857142857142857,90
PSNYW,0.16123462600309227,0.0,0.0,0.0,-0.0505316366887577,0.0,0.10829306033012977,0.2857142857142857,89
QGEN,0.15786090991029478,0.0,0.0,0.0,-0.021273385733553175,0.0,0.11307733599933278,0.2857142857142857,90
ROIV,0.4140768571560215,0.0,0.0,0.0,-0.054650090904015125,0.0,0.2968951201410124,0.2857142857142857,90
SQNS,0.12221070013840121,0.0,0.0,0.0,-0.5810606373393499,0.0,-0.05360713423103657,0.2857142857142857,90
